% Model,Varennes_GD.mph
% Version,COMSOL 5.2.1.262
% Date,"Nov 18 2020, 08:56"
% Table,Tcalc - 
% Time (d),"Température (degC), EWT","Température (degC), LWT","Charge hydraulique (m), Charge hydraulique au puits"
0,11,10.999999999999943,213.0667524794865
2.8935185185185184E-6,4.025756325624229,6.874553888338653,213.07018495526088
8.680555555555556E-6,-4.28320595742025,-1.4327998327248679,213.0694002435304
1.5625E-5,5.226593492489087,8.07655962448041,213.06834697508157
2.3819444444444447E-5,9.150310999813655,12.001030347925166,213.0675870468962
3.3488888888888895E-5,10.550434785594689,13.40187399930204,213.0670030179166
4.489883333333334E-5,10.922198091745997,13.774010073179227,213.06652621396864
5.836256777777778E-5,10.983429084086993,13.835527325979683,213.0661167736627
7.424977442222222E-5,10.993853045708192,13.846252312644936,213.0657558666699
9.299667826266666E-5,10.995381871350958,13.848115335312798,213.06543499950078
1.1511802479439109E-4,10.995837659991253,13.84894215714479,213.06515066206998
1.4122121370182592E-4,10.995402960883325,13.848913919790732,213.06490231486458
1.7202297661259903E-4,10.995751519861415,13.84970055711102,213.06469167566848
2.0836905684731128E-4,10.996718450934907,13.851128349132011,213.06452232928112
2.810612173167358E-4,11.001169204930761,13.856328905894259,213.06436566139382
4.2644553825558487E-4,11.016129018778884,13.872171120159862,213.06443021288345
7.172141801332829E-4,11.04679775609901,13.902702965107665,213.0652055494426
0.0012987514638886793,11.08233515359234,13.934959912467605,213.06755717513897
0.0024618260313994714,11.1192485681716,13.97564060809259,213.07199974541186
0.0038507149202883606,11.15462464036932,14.003307035498437,213.07573964740087
0.005239603809177249,11.187190767305765,14.02798798987908,213.07824357202557
0.0066284926980661385,11.217782448639923,14.057712935202574,213.08012628596515
0.008017381586955027,11.246751013663527,14.091178339581745,213.08177792290584
0.009406270475843916,11.274238970113345,14.118083074542199,213.0833357948109
0.010795159364732805,11.300380856115282,14.137737206410975,213.08482978997424
0.012184048253621696,11.325635209979282,14.16670544014039,213.08630812666442
0.013572937142510583,11.35001504292319,14.191788683906509,213.08776317245022
0.014961826031399473,11.373848666685376,14.221599502030585,213.0892107543882
0.01635071492028836,11.39733447180015,14.243743720875898,213.0906416539536
0.01773960380917725,11.420636242227488,14.272684196821388,213.0920588856388
0.01912849269806614,11.443819520364343,14.29079896370257,213.09344228734616
0.020517381586955027,11.467540187896418,14.328675012985173,213.09482903580536
0.02190627047584392,11.492342810462105,14.359726297316115,213.09621784318375
0.023295159364732806,11.518777593547725,14.37783115799931,213.0975731503678
0.024684048253621697,11.547652355664525,14.399321533222064,213.09888888802385
0.026072937142510584,11.580349301724993,14.42955994014119,213.1001831896636
0.02746182603139947,11.618343200046127,14.460970044686178,213.10147575376436
0.028850714920288362,11.662878602294711,14.503705217224308,213.10279226514692
0.03023960380917725,11.715062876322122,14.557973286415347,213.1041544105522
0.03162849269806614,11.775719096560408,14.624891625041244,213.10557701190405
0.03301738158695503,11.843623069599744,14.67985323047833,213.10701936564305
0.034406270475843916,11.91670966073292,14.75117207608821,213.10848483604934
0.035795159364732806,11.992387761323812,14.830530562786976,213.10998491928754
0.0371840482536217,12.068044708403875,14.905798433237976,213.11150474681367
0.03857293714251058,12.141569024213425,14.99070884723551,213.11305192614853
0.03996182603139947,12.211196592143722,15.067831111272767,213.11460532328346
0.04135071492028836,12.275603251178211,15.126382268256975,213.11611155067152
0.042739603809177254,12.334657346324605,15.183404891850671,213.11755732114125
0.04412849269806614,12.388563415958856,15.234315312193644,213.1189415097376
0.04551738158695503,12.438427788563388,15.280091270688331,213.1202731116711
0.04690627047584392,12.485448167011441,15.332805990996917,213.1215858686898
0.04829515936473281,12.530420094306123,15.380486879174612,213.12288643985275
0.0496840482536217,12.573068427401324,15.423268419325325,213.12415392267667
0.05107293714251059,12.61444228568638,15.456701279022468,213.12537131451592
0.052461826031399476,12.654531627740653,15.481186266688155,213.1265207835624
0.05385071492028837,12.693868634518594,15.520259080720791,213.1276695746341
0.05523960380917726,12.732733266549019,15.566946742165783,213.12884771666273
0.05662849269806614,12.771578988907436,15.628143970456506,213.13009550332936
0.05801738158695503,12.81041330162509,15.688211709674817,213.13138884954842
0.059406270475843924,12.84895076240889,15.732741697825418,213.1326573946406
0.060795159364732815,12.887567616249896,15.78148072092074,213.13391652205104
0.0621840482536217,12.92633109929642,15.82873905170743,213.13516567112444
0.06357293714251058,12.965034214173613,15.865833069490918,213.13637432838223
0.06496182603139948,13.00391463883517,15.90823344122623,213.13757086210774
0.06635071492028836,13.042801723765422,15.944224717121187,213.13873921117766
0.06773960380917726,13.081405716005634,15.969461766476172,213.13984901520172
0.06912849269806615,13.119926838371612,16.001772579467968,213.1409380681344
0.07051738158695503,13.158817261001388,16.05647708045933,213.14209220461376
0.07190627047584393,13.197390849540454,16.0952794828861,213.14324146332518
0.07329515936473281,13.235167061574373,16.11518522122111,213.1443130094086
0.0746840482536217,13.272703246783863,16.154256114133716,213.1453893607516
0.0760729371425106,13.309688777163956,16.18384576316197,213.1464412576417
0.07746182603139948,13.34594713468448,16.206800749373656,213.14744953833255
0.07885071492028836,13.381656731425949,16.23340400113517,213.1484365562909
0.08023960380917726,13.417206737617562,16.275523470487087,213.14946318661598
0.08162849269806614,13.45206702133703,16.298850430023094,213.15045339557557
0.08301738158695503,13.486797544114665,16.341392577468923,213.15147762674567
0.08440627047584393,13.521519975547676,16.39149264475185,213.15255575015172
0.08579515936473281,13.555767069131548,16.425071513734167,213.1536128471601
0.08718404825362171,13.58985677513084,16.468662341413676,213.1546833398144
