% Model,Varennes_GD_gfunc.mph,,
% Version,COMSOL 5.2.1.262,,
% Date,"Apr 12 2020, 10:14",,
% Table,Tcalc - ,,
% Temps (d),"Température (degC), EWT","Température (degC), LWT","Charge hydraulique (m), Charge hydraulique au puits"
0.067965418,0.733059487,1.73209616,212.989161
0.068659863,0.740081514,1.739117943,212.9890979
0.069354307,0.747086909,1.746123097,212.9890353
0.070048751,0.75406669,1.753102637,212.9889732
0.070743196,0.760992594,1.760028304,212.9889118
0.07143764,0.767871836,1.766907311,212.9888508
0.072132085,0.774700405,1.773735648,212.9887904
0.072826529,0.781475863,1.780510876,212.9887305
0.073520974,0.788215895,1.787250679,212.9886709
0.074215418,0.794907455,1.793942014,212.9886119
0.074909863,0.801545474,1.80057981,212.9885534
0.075604307,0.808128283,1.807162398,212.9884953
0.076298751,0.814655454,1.813689352,212.9884378
0.076993196,0.821126813,1.820160495,212.9883807
0.07768764,0.82751455,1.826548021,212.9883243
0.078382085,0.833848617,1.832881878,212.9882684
0.079076529,0.840130158,1.839163213,212.988213
0.079770974,0.846359947,1.845392797,212.988158
0.080465418,0.852538844,1.851571492,212.9881035
0.081159863,0.858667948,1.857700396,212.9880494
0.081854307,0.864765654,1.863797903,212.9879957
0.082548751,0.870821061,1.869853114,212.9879424
0.083243196,0.876830269,1.875862128,212.9878896
0.08393764,0.882792694,1.881824361,212.9878371
0.084632085,0.888685077,1.887716554,212.9877852
0.085326529,0.894533775,1.893565065,212.9877337
0.086020974,0.900341124,1.899372229,212.9876826
0.086715418,0.906108976,1.905139898,212.9876319
0.087409863,0.911839043,1.910869783,212.9875816
0.088104307,0.917545884,1.916576444,212.9875316
0.088798751,0.923222105,1.922252486,212.9874819
0.089493196,0.928865485,1.927895688,212.9874327
0.09018764,0.934476227,1.933506255,212.9873838
0.090882085,0.940039419,1.939069273,212.9873355
0.091576529,0.945574352,1.944604034,212.9872874
0.092270974,0.951083214,1.950112725,212.9872397
0.092965418,0.956567618,1.955596959,212.9871924
0.093659863,0.962028927,1.961058099,212.9871453
0.094354307,0.96747621,1.966505215,212.9870986
0.095048751,0.972905002,1.97193384,212.9870521
0.095743196,0.978313788,1.977342461,212.9870059
0.09643764,0.983702424,1.982730933,212.9869601
0.097132085,0.989071263,1.988099609,212.9869146
0.097826529,0.99442062,1.993448804,212.9868693
0.098520974,0.999750662,1.998778684,212.9868244
0.099215418,1.005062008,2.004089871,212.9867798
0.099909863,1.010355557,2.00938326,212.9867355
0.100604307,1.01563159,2.014659136,212.9866915
0.101298751,1.020889774,2.019917163,212.9866477
0.101993196,1.026129512,2.025156745,212.9866043
0.10268764,1.031350329,2.030377406,212.9865611
0.103382085,1.036551568,2.035578492,212.9865182
0.104076529,1.041732684,2.040759455,212.9864756
0.104770974,1.046893515,2.045920134,212.9864332
0.105465418,1.052034056,2.051060524,212.9863912
0.106159863,1.057153402,2.056179721,212.9863494
0.106854307,1.062250697,2.061276867,212.9863079
0.107548751,1.067326498,2.066352521,212.9862667
0.108243196,1.07238138,2.071407256,212.9862258
0.10893764,1.077403031,2.076428761,212.9861851
0.109632085,1.082402496,2.081428083,212.9861447
0.110326529,1.087379994,2.086405438,212.9861046
0.111020974,1.092335438,2.091360739,212.9860647
0.111715418,1.097268543,2.096293704,212.9860251
0.112409863,1.102179291,2.101204312,212.9859858
0.113104307,1.107067848,2.10609273,212.9859467
0.113798751,1.111934391,2.110959136,212.9859079
0.114493196,1.116779092,2.1158037,212.9858693
0.11518764,1.121602271,2.120626743,212.9858309
0.115882085,1.126404163,2.125428501,212.9857928
0.116576529,1.131184848,2.130209052,212.985755
0.117270974,1.135944412,2.134968482,212.9857174
0.117965418,1.140682951,2.13970689,212.98568
0.118659863,1.145400594,2.144424402,212.9856428
0.119354307,1.150097444,2.149121122,212.9856059
0.120048751,1.154773665,2.153797214,212.9855692
0.120743196,1.159429408,2.158452829,212.9855327
0.12143764,1.164064881,2.163088175,212.9854965
0.122132085,1.168680296,2.167703464,212.9854604
0.122826529,1.173275917,2.172298959,212.9854246
0.123520974,1.177851979,2.176874897,212.9853891
0.124215418,1.182408764,2.181431559,212.9853537
0.124909863,1.186946537,2.185969208,212.9853185
0.125604307,1.191465546,2.190488096,212.9852836
0.126298751,1.195966077,2.194988506,212.9852489
0.126993196,1.200448374,2.199470682,212.9852143
0.12768764,1.204912668,2.203934858,212.98518
0.128382085,1.2093592,2.208381271,212.9851459
0.129076529,1.213788181,2.212810134,212.985112
0.129770974,1.218199789,2.217221625,212.9850782
0.130465418,1.222594235,2.221615955,212.9850447
0.131159863,1.226971681,2.225993285,212.9850114
0.131854307,1.23133228,2.23035377,212.9849783
0.132548751,1.235676194,2.23469757,212.9849453
0.133243196,1.240003568,2.23902483,212.9849126
0.13393764,1.244314548,2.243335698,212.98488
0.134632085,1.248609284,2.247630323,212.9848476
0.135326529,1.25288791,2.251908837,212.9848154
0.136020974,1.257150577,2.256171395,212.9847834
0.136715418,1.261397423,2.260418131,212.9847516
0.137409863,1.265628601,2.2646492,212.9847199
0.138104307,1.269844236,2.268864727,212.9846884
0.138798751,1.274044473,2.273064857,212.9846571
0.139493196,1.278229456,2.277249733,212.984626
0.14018764,1.282399305,2.281419475,212.984595
0.140882085,1.28655414,2.285574205,212.9845643
0.141576529,1.29069406,2.289714021,212.9845337
0.142270974,1.294819174,2.293839031,212.9845032
0.142965418,1.298929589,2.297949342,212.9844729
0.143659863,1.303025383,2.302045034,212.9844428
0.144354307,1.307106644,2.306126192,212.9844129
0.145048751,1.311173448,2.310192895,212.9843831
0.145743196,1.315225873,2.31424522,212.9843535
0.14643764,1.319264016,2.318283262,212.984324
0.147132085,1.323287951,2.322307097,212.9842947
0.147826529,1.32729774,2.326316788,212.9842656
0.148520974,1.331293433,2.330312383,212.9842366
0.149215418,1.3352751,2.334293952,212.9842078
0.149909863,1.339242829,2.338261583,212.9841791
0.150604307,1.343196688,2.342215346,212.9841506
0.151298751,1.347136753,2.346155315,212.9841222
0.151993196,1.351063099,2.350081566,212.984094
0.15268764,1.3549758,2.353994172,212.9840659
0.153382085,1.358874933,2.35789321,212.984038
0.154076529,1.362760575,2.361778759,212.9840102
0.154770974,1.366632815,2.365650906,212.9839826
0.155465418,1.370491718,2.369509717,212.9839551
0.156159863,1.374337377,2.373355284,212.9839278
0.156854307,1.378169863,2.377187679,212.9839006
0.157548751,1.381989273,2.381006997,212.9838735
0.158243196,1.385795676,2.384813311,212.9838466
0.15893764,1.389589169,2.388606714,212.9838198
0.159632085,1.393369822,2.392387278,212.9837932
0.160326529,1.397137731,2.396155099,212.9837667
0.161020974,1.400892974,2.399910254,212.9837403
0.161715418,1.404635634,2.403652826,212.9837141
0.162409863,1.408365795,2.4073829,212.983688
0.163104307,1.412083545,2.411100563,212.983662
0.163798751,1.415788951,2.414805883,212.9836362
0.164493196,1.419482122,2.418498969,212.9836105
0.16518764,1.423163121,2.422179883,212.9835849
0.165882085,1.426832044,2.425848722,212.9835594
0.166576529,1.430488958,2.429505552,212.9835341
0.167270974,1.434133961,2.433150471,212.9835089
0.167965418,1.437767116,2.436783543,212.9834839
0.168659863,1.441388507,2.440404852,212.9834589
0.169354307,1.444998223,2.444014486,212.9834341
0.170048751,1.448596344,2.447612526,212.9834094
0.170743196,1.452182934,2.451199034,212.9833849
0.17143764,1.455758061,2.454774082,212.9833604
0.172132085,1.459321818,2.458337758,212.9833361
0.172826529,1.462874272,2.461890133,212.9833119
0.173520974,1.466415494,2.465431276,212.9832878
0.174215418,1.46994555,2.468961253,212.9832638
0.174909863,1.473464525,2.47248015,212.9832399
0.175604307,1.476972479,2.475988025,212.9832162
0.176298751,1.48046947,2.47948494,212.9831926
0.176993196,1.483955573,2.482970966,212.983169
0.17768764,1.487430848,2.486446164,212.9831457
0.178382085,1.490895368,2.489910608,212.9831224
0.179076529,1.494349193,2.493364357,212.9830992
0.179770974,1.497792388,2.496807477,212.9830761
0.180465418,1.501225014,2.500240029,212.9830532
0.181159863,1.50464714,2.50366208,212.9830303
0.181854307,1.508058817,2.507073683,212.9830076
0.182548751,1.511460105,2.510474899,212.9829849
0.183243196,1.51485107,2.51386579,212.9829624
0.18393764,1.518231761,2.517246409,212.98294
0.184632085,1.521602244,2.520616819,212.9829177
0.185326529,1.524962571,2.523977075,212.9828955
0.186020974,1.5283128,2.527327232,212.9828734
0.186715418,1.53165299,2.530667351,212.9828514
0.187409863,1.534983208,2.533997499,212.9828295
0.188104307,1.5383035,2.53731772,212.9828077
0.188798751,1.541613922,2.540628072,212.982786
0.189493196,1.544914531,2.543928612,212.9827644
0.19018764,1.548205379,2.547219391,212.9827429
0.190882085,1.551486538,2.550500481,212.9827215
0.191576529,1.554758037,2.553771912,212.9827002
0.192270974,1.558019965,2.557033772,212.982679
0.192965418,1.561272386,2.560286126,212.9826579
0.193659863,1.564515353,2.563529025,212.9826369
0.194354307,1.567748893,2.566762499,212.982616
0.195048751,1.570973046,2.569986585,212.9825952
0.195743196,1.57418786,2.573201334,212.9825745
0.19643764,1.577393373,2.576406781,212.9825539
0.197132085,1.580589628,2.57960297,212.9825333
0.197826529,1.583776672,2.582789949,212.9825129
0.198520974,1.586954562,2.585967775,212.9824925
0.199215418,1.590123368,2.589136517,212.9824723
0.199909863,1.593283129,2.592296213,212.9824521
0.200604307,1.596433904,2.595446925,212.982432
0.201298751,1.599575748,2.598588706,212.9824121
0.201993196,1.602708716,2.601721611,212.9823922
0.20268764,1.605832868,2.6048457,212.9823724
0.203382085,1.608948247,2.607961017,212.9823526
0.204076529,1.612054898,2.611067607,212.982333
0.204770974,1.615152862,2.614165509,212.9823134
0.205465418,1.618242186,2.617254772,212.982294
0.206159863,1.621322909,2.620335434,212.9822746
0.206854307,1.624395091,2.623407555,212.9822553
0.207548751,1.6274588,2.626471204,212.9822361
0.208243196,1.630514081,2.629526425,212.982217
0.20893764,1.633560986,2.63257327,212.982198
0.209632085,1.63659955,2.635611775,212.982179
0.210326529,1.639629809,2.638641975,212.9821601
0.211020974,1.642651796,2.641663904,212.9821413
0.211715418,1.645665556,2.644677605,212.9821226
0.212409863,1.648671123,2.647683115,212.982104
0.213104307,1.651668543,2.650680477,212.9820854
0.213798751,1.654657853,2.653669729,212.982067
0.214493196,1.657639078,2.656650897,212.9820486
0.21518764,1.660612269,2.659624032,212.9820303
0.215882085,1.663577467,2.662589173,212.982012
0.216576529,1.666534706,2.665546355,212.9819939
0.217270974,1.669484034,2.668495628,212.9819758
0.217965418,1.672425498,2.671437036,212.9819578
0.218659863,1.675359137,2.67437062,212.9819399
0.219354307,1.678284997,2.677296424,212.981922
0.220048751,1.68120311,2.680214483,212.9819043
0.220743196,1.684113523,2.683124841,212.9818866
0.22143764,1.687016263,2.686027527,212.9818689
0.222132085,1.68991138,2.68892259,212.9818514
0.222826529,1.692798908,2.691810064,212.9818339
